ward,type,location,year,est_cost,id,lat,long,query
18,Speed Indicator Signs,4260 W 79TH PL,2021,14000,16166,41.748875155000064,-87.72892694499996,census
46,Concrete Alley Menu,4300 N MARINEDR,2021,1686.78,40230,41.9613116,-87.6471009,google
46,Concrete Alley Menu,4300 N MARINEDR,2022,29028.735,40271,41.9613116,-87.6471009,google
37,Alley Resurfacing Menu,4300 W AUGUSTABLVD,2021,18809.065,33008,41.8991142,-87.733763,google
24,Alley Speed Hump Menu,4300 W CULLERTON ST,2021,700,21234,41.85431488800003,-87.73229711599998,census
26,Sidewalk Menu,4305 W LE MOYNE ST,2021,51631.255,23116,41.90765919000006,-87.73399370699997,census
13,Bollard Menu,4308 W MARQUETTE RD,2021,2495.11,11394,41.771288223000056,-87.73032458399996,census
15,Alley Apron Menu,4312 S ARTESIAN AVE,2022,11398.045,13811,41.81500729800007,-87.68589018299997,census
33,Alley Resurfacing Menu,4313 N MOZARTST,2021,15885.36,29330,41.9598825,-87.6993812,google
39,Miscellaneous Other,4321 W Peterson Ave,2012,264865,34287,41.990024540000036,-87.73720575299996,census
22,Arterial Street Bump Outs Menu,4332 W 26TH ST,2021,31861.26,19139,41.84415888500007,-87.73178449199997,census
22,Arterial Street Bump Outs Menu,4332 W 26TH ST,2022,15779.715,19195,41.84415888500007,-87.73178449199997,census
33,Street Light Upgrade Menu,4338 N FRANCISCO AVE,2021,500,29374,41.95996648200003,-87.70087877399999,census
3,Miscellaneous CDOT Projects,435 E 43RD ST,2021,75,3110,41.816636009000035,-87.61626234999994,census
22,Street Resurfacing Menu,4400 S LAWLER AVE,2022,26653.55,19230,41.812514846000056,-87.74941218999999,census
46,Alley Speed Hump Menu,4417 N BEACONST,2021,350,40225,41.9622677,-87.6633982,google
39,Speed Indicator Signs,4418 W FOSTER AVE,2021,5500,34632,41.9756551,-87.7384218,google
46,Speed Indicator Signs,4420 N BEACON ST,2022,5500,40289,41.962124578000044,-87.66374460899993,census
46,Miscellaneous CDOT Projects,4438 N RACINE AVE,2021,16398.165,40234,41.963396620000026,-87.65961384999997,census
15,Alley Apron Menu,4444 S ARTESIAN AVE,2021,11107.7,13739,41.81321698100004,-87.68584113799994,census
33,Street Speed Hump Menu,4500 NRICHMOND ST,2022,2350,29448,41.9630544,-87.7021793,google
12,POD Camera,4500 Talman,2008,15000,9631,41.8118458,-87.6909848,google
46,Sidewalk Menu,4545 N BROADWAY,2021,6885.77,40241,41.96470739100005,-87.65702034499998,census
46,Sidewalk Menu,4545 N BROADWAY,2022,15207.37,40279,41.96470739100005,-87.65702034499998,census
2,Alley Resurfacing Menu,455 W NORTHAVE,2022,16638.72,2464,41.9108133,-87.6408101,google
31,Sidewalk Menu,4558 W SCHUBERT AVE,2022,7363.13,27765,41.92958776100005,-87.74124686399995,census
33,Miscellaneous CDOT Projects,4600 N KIMBALL AVE,2022,2600,29426,41.96474124000008,-87.71325726999999,census
14,Alley Resurfacing Menu (1-1),4600 S CHRISTIANA AVE,2021,18579.545,12900,41.809790442000065,-87.70762383299996,census
15,Alley Resurfacing Menu,4600 SHONORE ST,2022,17912.5466666667,13817,41.8102161,-87.6714177,google
15,Alley Resurfacing Menu,4601 SWINCHESTER AVE,2022,18914.01,13818,41.8102371,-87.6731569,google
4,POD Camera,4659 S Cottage Grove,2007,24000,3295,41.81061281600006,-87.60657790099998,census
37,Alley Resurfacing Menu,4719 WGRAND AVE,2021,41000,33007,41.9130435,-87.7443187,google
14,Sidewalk Menu,4743 S KOLIN AVE,2022,4616.86666666667,12974,41.80674238200004,-87.73211225499995,census
14,Sidewalk Menu,4747 S KOLIN AVE,2022,4616.86666666667,12974,41.80669304200006,-87.73211077699995,census
20,Alley Speed Hump Menu,4758 S RACINE AVE,2021,1050,17490,41.807251465000036,-87.65521394199999,census
31,Street Resurfacing Menu,4800- 4832 W NEWPORT AVE,2020,8977.735,27680,41.94337584200008,-87.74843970499995,census
33,Miscellaneous CDOT Projects,4801 N CENTRAL PARK AVE,2022,2600,29426,41.96838826000004,-87.71824716599997,census
33,Miscellaneous CDOT Projects,4801 N STLOUIS AVE,2022,2600,29426,41.968416467000054,-87.71579970499994,census
3,Alley Speed Hump Menu,4810 S INDIANA AVE,2022,350,3176,41.807190164000076,-87.62116219799998,census
31,Street Light Upgrade Menu,4812 W NEWPORT AVE,2021,750,27729,41.94337997700006,-87.74811384999998,census
40,Sidewalk Menu,4820 N WASHTENAW AVE,2022,1217.80666666667,35458,41.96992503000007,-87.69629469199998,census
14,Alley Resurfacing Menu,4822 S RIDGEWAY AVE,2021,14756.98,12903,41.805107992000046,-87.71737956999993,census
4,Speed Indicator Signs,4825 S DREXEL BLVD,2022,8333.33333333333,3827,41.807227967000074,-87.60383710899998,census
30,Sidewalk Menu,4834 W WAVELAND AVE,2022,3989.935,26772,41.94794962800006,-87.74829608199997,census
31,Street Light Upgrade Menu,4858 W MELROSE ST,2021,750,27729,41.93972496200007,-87.74858776799994,census
6,Sidewalk Menu,49 W 77TH PL,2022,5052.88,5041,41.75364636100005,-87.62655707299996,census
48,Alley Resurfacing Menu,4900 N SHERIDAN RD,2022,7888.115,42214,41.971722347000025,-87.65489096199997,census
37,Sidewalk Menu,4900 W POTOMAC AVE,2021,4936.765,33017,41.90414846700003,-87.74865563299994,census
37,Alley Resurfacing Menu,4900 W WALTON ST,2022,2056.635,33070,41.89773030500004,-87.74851455699996,census
3,Alley Resurfacing Menu,4906 S INDIANA AVE,2022,23593.905,3167,41.805431578000025,-87.62111679499998,census
33,Street Speed Hump Menu,4917 N DRAKEAVE,2021,2350,29392,41.9707806,-87.7167801,google
48,Miscellaneous Other,4919 N Winthrop Ave,2013,10325,41716,41.97194659100006,-87.65768856699998,census
31,Street Light Upgrade Menu,4923 W BARRY AVE,2022,500,27782,41.936957232000054,-87.74992278899998,census
33,Sidewalk Menu,4925 N MONTICELLO AVE,2022,11360.8233333333,29438,41.97067719700004,-87.71952938499999,census
5,Street Bump Outs Menu,4930 S CORNELL AVE,2021,5878.425,4461,41.80495676800007,-87.58649965399997,census
45,POD Camera,4956 Bell Plaine Ave,2007,24000,39084,41.95520380000005,-87.75086595499994,census
33,Sidewalk Menu,4957 N MONTICELLO AVE,2022,11360.8233333333,29438,41.97117665300004,-87.71954407499999,census
31,Street Light Upgrade Menu,5000 W FLETCHER ST,2021,750,27729,41.93785681800006,-87.75195190199997,census
39,Miscellaneous CDOT Projects,5001 N PULASKI RD,2021,2537.5,34625,41.97356776500004,-87.72816759699998,census
29,Alley Speed Hump Menu,5045 WGLADYS AVE,2022,1400,25552,41.8755636,-87.7510929,google
40,Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping,5100 N FRANCISCO AVE,2022,40000,35451,41.97404016300004,-87.70130537899996,census
23,Speed Indicator Signs,5185 S ARCHER AVE,2021,11000,20518,41.80008829900004,-87.73383056499995,census
37,Street Resurfacing Menu,5200 N LARAMIE AVE,2022,53917.925,33097,41.97578964100006,-87.75779604099995,census
16,POD Camera,5200 S Ada,2006,24000,13947,41.7995761,-87.6586501,google
31,Alley Speed Hump Menu,5218 WDIVERSEY AVE,2022,700,27752,41.931589,-87.7572473,google
31,Street Resurfacing Menu,5219 W WRIGHTWOOD AVE,2021,7252.48375,27730,41.92775996000006,-87.75732520699995,census
14,Sidewalk Menu,5220 S NATOMA AVE,2022,9960.42,12987,41.79730654700006,-87.78806363799998,census
3,Miscellaneous CDOT Projects,5221 S WABASH AVE,2021,133.065,3114,41.799397688000056,-87.62420000899994,census
31,Street Light Upgrade Menu,5236 W SCHOOL ST,2021,750,27729,41.940521326000066,-87.75770134099997,census
29,Alley Resurfacing Menu,5255 WJACKSON BLVD,2022,20831.59,25549,41.8764,-87.757055,google
14,Sidewalk Menu,5258 S MULLIGAN AVE,2022,13315.12,12991,41.79681759600004,-87.78072969699997,census
23,Alley Apron Menu,5258 S SAYRE AVE,2021,14086.015,20479,41.79660316400003,-87.79658318299994,census
31,Sidewalk Menu,5259 WOAKDALE AVE,2022,3721.4,27773,41.9339244,-87.7587723,google
4,POD Camera,5299 S Drexel,2006,36000,3264,41.79946744500006,-87.60391046999996,census
16,Bollard Menu,5300 S DAMEN AVE,2022,1668.935,14658,41.79751339000006,-87.67440803499994,census
23,Street Resurfacing Menu,5300 S NAGLE AVE,2022,23240.61,20606,41.795882465000034,-87.78314141899995,census
29,Miscellaneous CDOT Projects,5300 W VAN BUREN ST,2022,125,25563,41.87482108800003,-87.75781498099997,census
23,Alley Speed Hump Menu,5301 S HARDING AVE,2021,466.666666666667,20486,41.79672898900003,-87.72202424599999,census
3,Miscellaneous CDOT Projects,5314 S INDIANA AVE,2021,150,3116,41.79787231200004,-87.62093172899995,census
30,Curb & Gutter Menu,5318 W MELROSE ST,2022,2293.26444444444,26748,41.93958182100005,-87.75974698499994,census
30,Curb & Gutter Menu,5319 W MELROSE ST,2022,2293.26444444444,26748,41.93957085900007,-87.75974671499995,census
30,Curb & Gutter Menu,5323 W MELROSE ST,2022,2293.26444444444,26748,41.93956971000006,-87.75983078399997,census
30,Curb & Gutter Menu,5328 W MELROSE ST,2022,2293.26444444444,26748,41.939578950000055,-87.75995715899995,census
40,Street Light Upgrade Menu,5334 N CALIFORNIA AVE,2021,331.12,35417,41.978681203000065,-87.69902070499995,census
29,Miscellaneous CDOT Projects,5339 W MONROE ST,2022,125,25563,41.879327673000034,-87.75864944699998,census
30,Curb & Gutter Menu,5340 W,2022,2293.26444444444,26748,41.8951563,-87.7597293,google
23,Alley Speed Hump Menu,5344 S MILLARD AVE,2021,350,20487,41.79637775000003,-87.71467217499998,census
23,Viaduct Improvement Menu,5346 S CICERO AVE,2021,21183.24,20545,41.79497221400004,-87.74289738599998,census
30,Curb & Gutter Menu,5347 W MELROSE ST,2022,2293.26444444444,26748,41.93956281900006,-87.76033520099998,census
30,Curb & Gutter Menu,5353 W MELROSE ST,2022,2293.26444444444,26748,41.939561096000034,-87.76046130499998,census
30,Curb & Gutter Menu,5355 W MELROSE ST,2022,2293.26444444444,26748,41.93956052200008,-87.76050333999996,census
23,Alley Apron Menu,5358 S HAMLIN AVE,2021,7512,20480,41.79545253600003,-87.71832437299997,census
39,Miscellaneous CDOT Projects,5363 W DEVON AVE,2021,8333.33333333333,34622,41.99732170800007,-87.76287426999994,census
39,Street Resurfacing Menu,5400 N LAPORTE AVE,2021,11898.905,34641,41.980605783000044,-87.75204353599997,census
29,Alley Resurfacing Menu,5400 W QUINCY ST,2021,35012.575,25454,41.87751533900007,-87.75967446699997,census
39,Miscellaneous CDOT Projects,5405 W DEVON AVE,2021,8333.33333333333,34622,41.99732572800008,-87.76394980899994,census
31,Street Light Upgrade Menu,5418 W SCHUBERT AVE,2022,500,27784,41.92951601300007,-87.76184207999995,census
45,Chicago Park District,5421 N. Menard,2006,100000,39035,41.97987937900007,-87.77323193899997,census
31,Street Light Upgrade Menu,5428 W SCHUBERT AVE,2022,500,27784,41.92951313700007,-87.76205262099995,census
23,Street Light Upgrade Menu,5430 S NOTTINGHAM AVE,2022,500,20600,41.793466040000055,-87.79904141299994,census
31,Street Light Upgrade Menu,5435 W SCHUBERT AVE,2022,500,27784,41.929500449000045,-87.76217867499997,census
13,Sidewalk Menu,5442 W 63RD PL,2021,2627.82,11436,41.777229315000056,-87.75824518199994,census
37,Alley Resurfacing Menu,5445 W NORTH AVE,2022,14769.55,33069,41.909405235000065,-87.76302480999999,census
31,Street Light Upgrade Menu,5456 WSCHUBERT AVE,2022,500,27784,41.9297604,-87.7635577,google
6,Sidewalk Menu,55 W 77TH PL,2022,12003.495,5042,41.75364533000004,-87.62661102799996,census
30,Curb & Gutter Menu,5515 W PARKER AVE,2022,3452.64,26749,41.93038655400005,-87.76424604999994,census
29,Miscellaneous CDOT Projects,5517 W WEST END AVE,2022,125,25563,41.88424712300008,-87.76362410899998,census
30,Curb & Gutter Menu,5518 W PARKER AVE,2022,3452.64,26749,41.93039637000004,-87.76433052999994,census
13,Sidewalk Menu,5521 S KOLMAR AVE,2021,741.433333333333,11438,41.79229102900007,-87.73660638299998,census
31,Street Light Upgrade Menu,5521 W DRUMMOND PL,2022,500,27786,41.92855845400004,-87.76451384399996,census
37,Alley Resurfacing Menu,5527 W CRYSTAL ST,2022,15498.985,33065,41.903055162000044,-87.76478411899996,census
30,Curb & Gutter Menu,5529 W PARKER AVE,2022,3452.64,26749,41.93038253900005,-87.76454078599994,census
30,Curb & Gutter Menu,5536 W PARKER AVE,2022,3452.64,26749,41.93039120700007,-87.76470947599995,census
30,Curb & Gutter Menu,5537 W PARKER AVE,2022,3452.64,26749,41.93038024400005,-87.76470920699995,census
31,Street Light Upgrade Menu,5537 W SCHUBERT AVE,2022,500,27787,41.929467730000056,-87.76467704799995,census
31,Street Light Upgrade Menu,5539 W DRUMMOND PL,2022,500,27786,41.92855091000007,-87.76512162399996,census
29,Alley Resurfacing Menu,5548 W GLADYS AVE,2022,19183.98,25550,41.875657226000044,-87.76314806799996,census
31,Street Light Upgrade Menu,5555 W DRUMMONDPL,2022,500,27786,41.928284,-87.765889,google
36,Alley Resurfacing Menu,5600 W NEWPORTAVE,2022,17799.96,32210,41.9432512,-87.7669187,google
23,Alley Apron Menu,5601 S MASSASOIT AVE,2021,7630.175,20481,41.79068716200004,-87.76587984999998,census
13,Sidewalk Menu,5606 S KEELER AVE,2021,1487.98,11444,41.79112268400007,-87.72801185299994,census
36,Alley Resurfacing Menu,5615 W EDDY ST,2022,16987.515,32209,41.94494740700003,-87.76769439699996,census
13,Alley Resurfacing Menu,5623 S MEADE AVE,2022,12027.625,11545,41.79016139100003,-87.77440301699994,census
48,Alley Resurfacing Menu,5648 NMAGNOLIA AVE,2022,5542.83,42211,41.985054,-87.6615597,google
14,Alley Resurfacing Menu,5723 S WHIPPLE ST,2021,16885.315,12904,41.78945735700006,-87.69977190799995,census
36,Alley Resurfacing Menu,5800 W ROSCOEST,2022,14727.435,32214,41.9424149,-87.7717118,google
40,Concrete Alley Menu,5814 NHERMITAGE AVE,2021,70000,35400,41.987189,-87.6733534,google
23,Alley Speed Hump Menu,5817 S TRUMBULL AVE,2021,245.83,20488,41.787674827000046,-87.70950555999997,census
13,Sidewalk Menu,5825 S RUTHERFORD AVE,2022,6619.975,11569,41.78618561700006,-87.79012038099995,census
20,Miscellaneous CDOT Projects,5828 S DR MARTIN LUTHER KING JR DR,2022,150,17524,41.7885087,-87.6161899,google
40,POD Camera,5900 N California,2006,36000,34802,41.98868880800006,-87.69934722799997,census
29,Street Speed Hump Menu,5900 W IOWAST,2021,2350,25527,41.8968484,-87.7725921,google
29,Miscellaneous CDOT Projects,5930 WCHICAGO AVE,2022,125,25563,41.895014,-87.773667,google
40,Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping,5941 N RICHMOND ST,2022,40000,35451,41.99013875700007,-87.70302207599997,census
4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,600 S STATE ST,2021,27410,3763,41.87453847100005,-87.62767309099996,census
13,POD Camera,6000 S Keeler,2007,12000,10586,41.783925718000035,-87.72779962799996,census
40,Concrete Alley Menu,6001 N PAULINA ST,2021,8919.27,35401,41.990805730000034,-87.67176932499996,census
40,Concrete Alley Menu,6001 N PAULINA ST,2022,56080.73,35446,41.990805730000034,-87.67176932499996,census
13,Street Light Upgrade Menu,6058 S MASON AVE,2022,500,11601,41.78231575900003,-87.77044700799996,census
50,Street Light Upgrade Menu,6090 N ALBANY AVE,2021,500,43519,41.99275402600006,-87.70676661199997,census
16,Street Resurfacing Menu,6100 S PEORIA ST,2022,16644.87,14669,41.78328658800007,-87.64731281499996,census
44,Alley Resurfacing Menu,611 W SURF ST,2021,4736.0575,38846,41.93486483200007,-87.64467929399996,census
50,Alley Speed Hump Menu,6111 NMOZART ST,2022,350,43548,41.9925602,-87.7003451,google
23,Speed Indicator Signs,6115 S PULASKI RD,2021,14000,20519,41.78211390600006,-87.72284844599994,census
43,Concrete Alley Menu,613 W BELDEN AVE,2022,120969.665,38079,41.923691845000064,-87.64444905199997,census
27,Alley Resurfacing Menu,617 W EVERGREEN AVE,2022,10050.41,23949,41.906379797000056,-87.64664304199994,census
13,Sidewalk Menu,6200 S MULLIGAN AVE,2021,1319.535,11506,41.77942326900006,-87.78011160899996,census
50,Miscellaneous-CDOT,6201 Monticello,2005,8568,43067,41.9938853,-87.7199017,google
13,Street Light Upgrade Menu,6310 S LOREL AVE,2022,500,11600,41.77749410900003,-87.75562996399998,census
13,POD Camera,6340 Cicero,2007,24000,10584,41.9968372,-87.7483347,google
27,Sidewalk Menu,639 N HOMAN AVE,2022,24175.9433333333,23963,41.89260160200007,-87.71133969699997,census
49,Alley Resurfacing Menu,6412 N MAGNOLIAAVE,2021,30744.64,42956,41.90914036400005,-87.78626622199994,census
20,Miscellaneous CDOT Projects,6555 S INGLESIDE AVE,2022,75,17525,41.77583182700005,-87.60216654399994,census
49,Alley Resurfacing Menu,6600 NLAKEWOOD AVE,2022,10181.155,43019,42.0025243,-87.663018,google
5,Miscellaneous CDOT Projects,6602 SDREXEL AVE,2022,187.5,4478,41.774834,-87.603726,google
50,Curb & Gutter Menu,6757 N RICHMOND ST,2021,731.6,43510,42.00434366400003,-87.70340106799995,census
23,Diagonal Parking Menu,6758 W ARCHER AVE,2022,20000,20572,41.79217429300007,-87.79093479699998,census
20,Guardrail Menu,6858 DR. MARTIN LUTHER KING JR. DR,2008,1011,17002,41.7695075,-87.6155925,google
29,Sidewalk Menu,6928 W PALMER ST,2021,10624.77,25494,41.91992060200005,-87.79931654199999,census
29,Sidewalk Menu,6928 W PALMER ST,2022,17875.065,25574,41.91992060200005,-87.79931654199999,census
36,Sidewalk Menu,6928 W PALMER ST,2021,28499.835,32183,41.91992060200005,-87.79931654199999,census
38,Speed Indicator Signs,6949 W IRVING PARK RD,2022,9333.33333333333,33942,41.95274283400005,-87.80064471499998,census
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,7000 S EAST END AVE,2021,35747,4449,41.76778348800008,-87.58283203799994,census
38,Speed Indicator Signs,7015 W IRVING PARK RD,2022,9333.33333333333,33942,41.952745177000054,-87.80172032199994,census
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,7100 S DORCHESTER AVE,2021,35747,4449,41.76507352900006,-87.59097392899997,census
29,Alley Resurfacing Menu,7117 W BELMONTAVE,2021,12369.685,25455,41.937847,-87.804725,google
5,Miscellaneous CDOT Projects,7138 S INGLESIDE AVE,2022,187.5,4478,41.76478459900005,-87.60188144299997,census
7,Miscellaneous CDOT Projects,7139 S RIDGELAND AVE,2021,18225.135,5720,41.764932972000054,-87.58240498599997,census
6,Alley Apron Menu,7203 S STLAWRENCE AVE,2021,12013.88,4992,41.76379552600008,-87.61037298699995,census
11,Alley Resurfacing Menu,724 W 48TH PL,2021,39242.93,9260,41.806164057000046,-87.64396023899997,census
49,Miscellaneous-CDOT,7300 N Oakley Ave,2006,18500,42295,42.014135356000054,-87.68754055499994,census
11,Alley Resurfacing Menu,745 W 48TH PL,2022,34091.105,9319,41.806148961000076,-87.64418038899998,census
49,POD Camera,7500 N Hoyne,2006,36000,42317,42.01798217600003,-87.68299479699994,census
6,Alley Apron Menu,7513 S LANGLEY AVE,2022,12060.605,5032,41.757873215000075,-87.60781225899996,census
8,Alley Speed Hump Menu,7514 S CREGIER AVE,2021,700,6521,41.75809235500003,-87.58102482799995,census
6,Sidewalk Menu,7515 S RHODES AVE,2022,2849.26,5048,41.75778382500005,-87.61144261199996,census
6,Bollard Menu,7600 DR. MARTIN LUTHER KING JR. DR,2007,714,4606,41.756438727000045,-87.61508357799994,census
6,Bollard Menu,7757 DR. MARTIN LUTHER KING JR. DR,2006,714,4554,41.7532088,-87.6147417,google
13,POD Camera,7825 S Kostner,2007,12000,10586,41.75096509100007,-87.73167468999998,census
8,Miscellaneous CDOT Projects,7841 S STONY ISLAND AVE E,2022,75,6582,41.752077,-87.585217,google
13,Miscellaneous-Other,8 th Dist Police Station,2005,1178,10419,41.8645034,-87.6506526,google
13,Miscellaneous-Other,8 th Dist Police Station,2006,1777,10494,41.8645034,-87.6506526,google
13,POD Camera,8100 S Kostner,2005,24000,10420,41.745578358000046,-87.73151168699997,census
18,Sidewalk Menu,8112 S RICHMOND ST,2021,2183.45666666667,16154,41.74557954100004,-87.69618071799994,census
4,Street Light Upgrade Menu,813 E 47TH PL,2021,500,3793,41.808629385000074,-87.60584505299994,census
18,Sidewalk Menu,8155 S FAIRFIELD AVE,2022,1731.65,16208,41.745341014000076,-87.69127544199995,census
18,Sidewalk Menu,8156 S RICHMOND ST,2021,2183.45666666667,16154,41.744910954000034,-87.69616214599995,census
21,Street Speed Hump Menu,8229 SWENTWORTH AVE,2021,2350,18440,41.7444956,-87.6289145,google
6,Alley Speed Hump Menu,846 W 69TH ST,2021,700,4994,41.76884176200008,-87.64479301899996,census
2,Street Resurfacing Menu,850 N DEWITT PL,2021,52357.98,2427,41.89837153800005,-87.62020128199998,census
1,Alley Resurfacing Menu,850 N OAKLEY BLVD,2021,32906.95,948,41.89711951800007,-87.68443727799996,census
6,Alley Apron Menu,8645 S PRAIRIE AVE,2021,33966.46,4991,41.73765508500003,-87.61778225499995,census
7,Street Light Upgrade Menu,8800 S SOUTH CHICAGO AVE,2022,500,5789,41.735636449000026,-87.56353409299999,census
21,Curb & Gutter Menu,8840 S EMERALD AVE,2022,799.805,18463,41.733575710000025,-87.64233521599994,census
2,Miscellaneous-CDOT,9 th Street Median improvements,2005,150000,1033,41.8707554,-87.6312867,google
48,Alley Resurfacing Menu,916 W CARMEN AVE,2021,19832.84,42164,41.97433457500006,-87.65304694499997,census
21,Sidewalk Menu,9221 S BISHOP ST,2021,9685.535,18413,41.72627774500006,-87.65913974599994,census
25,Alley Resurfacing Menu,927 S CARPENTER ST,2021,20074.81,22223,41.86992650900004,-87.65320474999999,census
4,Alley Resurfacing Menu,936 E 47TH ST,2021,11377.22,3766,41.80958783300008,-87.60232237899999,census
10,Sidewalk Menu,9413 S COMMERCIAL AVE,2021,77222.18,8441,41.72422619400004,-87.55110766899998,census
44,Alley Resurfacing Menu,946 WDIVERSEY PKWY,2021,15021.36,38855,41.9327425,-87.6533384,google
21,Street Speed Hump Menu,9656 S UNION AVE,2021,1175,18441,41.71865993900008,-87.64071685099998,census
48,POD Camera,Argy,2011,1800,41678,NA,NA,google
26,Chicago Park District,Augusta Pool,2006,20000,22432,41.8991199,-87.7158208,google
28,Street Light Residential Staggered Piggy Back Menu,AVE (250 N),2021,41570.75,24773,NA,NA,google
49,Street Lighting,BELL-BIRCHWOOD TO HOWARD,2005,60000,42278,NA,NA,google
26,Miscellaneous-Other,Bloomingdale Trail,2008,15000,22479,41.9136553,-87.7201679,google
48,Miscellaneous-CDOT,Broadway Avenue Study,2009,50000,41602,41.9512089,-87.6496156,google
40,Sidewalk Menu - Change Order,California (Gunnison Ainlsie),2010,598,34966,NA,NA,google
26,Schools,Casals School - 3501 W. Potomac Ave.,2011,20000,22646,41.9043934,-87.7140646,google
44,Miscellaneous-Other,Center on Halsted,2006,350000,38153,41.9489773,-87.6497045,google
32,Miscellaneous-CDOT,Chicago Ave. at Hoyne Ave. (crosswalk),2008,875,28005,41.8958689,-87.6794905,google
46,Chicago Park District,Clarendon Dog Friendly Area,2009,75000,39881,41.9639632,-87.6477697,google
42,Miscellaneous-CDOT,Clinton - Fulton River District,2005,1485,36236,41.8880379,-87.6413589,google
10,Miscellaneous-CDOT,Commercial 8926-27-30-32,2007,8886,7718,41.8368422,-87.8458142,google
43,Miscellaneous-Other,"CTA Fullerton Stop- Healy Stone Project. Menu 2003 ,2004 ,2005 ,",2005,6646,37163,41.9251983,-87.6527796,google
43,Miscellaneous-Other,CTA Fullerton Stop-healy Stone Project. Menu,2009,354,37403,41.9251983,-87.6527796,google
41,Miscellaneous-CDOT,Devon at Normandy,2007,600,35600,41.9973092,-87.79393,google
26,Miscellaneous-CDOT,Division Gateway Flag Painting,2006,20000,22394,41.7614607,-87.6441581,google
26,Miscellaneous-CDOT,Division Street Gateway,2010,424,22541,41.9009303,-87.8353758,google
26,Miscellaneous-CDOT,Division Street Gateways,2011,40771,22615,41.9009303,-87.8353758,google
26,Miscellaneous-CDOT,Division Street Gateways,2011,826,22616,41.9009303,-87.8353758,google
26,Miscellaneous Other,Division Street Gateways,2012,45711,22658,41.9009303,-87.8353758,google
4,Chicago Park District,Dyett Green Youth Farm Fence,2010,59020,3374,41.8011311,-87.6122545,google
10,Miscellaneous-CDOT,E107 Ewing to 1 st alley east,2006,8887,7636,NA,NA,google
27,Chicago Park District,Eckhart Park- playground - 1330 W. Chicago Ave.,2011,175000,23561,41.8972278,-87.6612032,google
48,Miscellaneous-Other,Edgewater Branch Library,2010,1000000,41639,41.9862871,-87.668802,google
16,Miscellaneous Other,Flower baskets- 63 rd St.,2012,47200,14254,41.7803989,-87.6059255,google
26,Schools,Funston School - 2010 N. Central Park Ave.,2011,20000,22644,41.9178435,-87.7171524,google
49,Miscellaneous-Other,Gale Community Center,2006,400000,42316,42.0207515,-87.6712414,google
9,Schools,Gately Stadium - scoreboard,2011,5000,6985,41.7085091,-87.6026376,google
8,Schools,Gately Stadium Scoreboard,2011,5000,6170,41.7085091,-87.6026376,google
24,New Alley Construction,"Gladys, Van Buren, Dead End, Kilpatrick",2010,1507,20843,41.7748629,-87.7397502,google
24,Concrete Alley Menu,Gladys,2012,148082,20897,41.7365439,-87.5940458,google
39,Chicago Park District,Gompers Park - Pulaski Ave.,2009,30000,34196,41.9761424,-87.7367788,google
9,Schools,Gwendolyn Brooks School - 250 E. 111 th St.,2009,200000,6926,41.6940833,-87.6158523,google
9,Schools,Gwendolyn Brooks,2010,474000,6957,41.8117997,-87.5998136,google
4,Miscellaneous-CDOT,Harper Ave. Construction,2011,200000,3385,41.7585469,-87.587331,google
4,Miscellaneous Other,Harper Ave.,2012,200000,3415,41.7585469,-87.587331,google
1,Miscellaneous-CDOT,Hermitage Green Space,2008,24320,254,NA,NA,google
26,Miscellaneous-CDOT,Humboldt Dr. through Humboldt Park,2008,20000,22453,41.9011913,-87.7022585,google
43,Pole Painting,INNER LAKESHORE-DIVISION(1200 N) to NORTH AVE (1600 N),2006,11200,37193,41.9070715,-87.8540754,google
47,Miscellaneous Other,Installation of four bike stations,2012,265000,40721,NA,NA,google
49,CTA,Jarvis CTA Station; Morse CTA Station; Loyola CTA Station,2010,59246,42470,42.0011639,-87.6610257,google
26,Miscellaneous-Other,La Crucifixion De Don Pedro Albizu Mural -2423 W. North Ave.,2008,25000,22480,41.9100593,-87.6881975,google
44,Chicago Park District,Lakse Shore Dr. Diversey-Briar,2009,9000,38244,41.9328545,-87.6362215,google
47,Miscellaneous-Other,Lane Tech,2006,25000,40413,41.945166,-87.6906541,google
42,Miscellaneous-CDOT,LaSalle Plaza 335,2011,5121,36601,41.8773072,-87.6317057,google
42,Miscellaneous Other,LaSalle Plaza 335,2012,979,36635,41.8773072,-87.6317057,google
42,Miscellaneous Other,LaSalle Plaza 335,2013,6100,36697,41.8773072,-87.6317057,google
43,Miscellaneous-CDOT,Lincoln Park West @ Dickens (Additional Work),2008,30000,37287,41.9201749,-87.6361546,google
26,Schools,Lowell School - 3320 W. Hirsch St.,2011,20000,22642,41.9066526,-87.7105648,google
42,Miscellaneous-CDOT,LSD on north side of Cedar Street,2008,400,36461,41.9691927,-87.6558099,google
42,Street Lighting,MADISON-WACKER TO CANAL,2006,1600,36370,41.881969,-87.637444,google
1,Miscellaneous-CDOT,Maplewood Ave. at Diversey,2008,40000,259,41.9321363,-87.6915586,google
